date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:14	352/352	---MCZ	200	added ('OK')	text/plain	date:Sat,%2001%20Jun%202024%2012:01:13%20GMT	https://isteflonbannedinuk.wordpress.com/robots.txt		(from )
17:31:14	93689/93689	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2012:01:14%20GMT	https://isteflonbannedinuk.wordpress.com/	C:/My%20Web%20Sites/Is%20Teflon%20Banned%20In%20UK/isteflonbannedinuk.wordpress.com/index.html	(from )
17:31:15	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684465074401.1533	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/My%20Web%20Sites/Is%20Teflon%20Banned%20In%20UK/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://isteflonbannedinuk.wordpress.com/)
17:31:15	369/369	---M--	200	added ('OK')	text/css	etag:%226466d548-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/Is%20Teflon%20Banned%20In%20UK/s1.wp.com/_static/indexd02a.html	(from https://isteflonbannedinuk.wordpress.com/)
17:31:15	1534/1534	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2001%20Jun%202024%2012:01:14%20GMT	https://isteflonbannedinuk.wordpress.com/feed/	C:/My%20Web%20Sites/Is%20Teflon%20Banned%20In%20UK/isteflonbannedinuk.wordpress.com/feed/index.html	(from https://isteflonbannedinuk.wordpress.com/)
17:31:15	892/892	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22621269dec96044c295baa8d34f11bdcd%22	https://isteflonbannedinuk.wordpress.com/comments/feed/	C:/My%20Web%20Sites/Is%20Teflon%20Banned%20In%20UK/isteflonbannedinuk.wordpress.com/comments/feed/index.html	(from https://isteflonbannedinuk.wordpress.com/)
17:31:15	915/915	---MCZ	200	added ('OK')	text/xml	date:Sat,%2001%20Jun%202024%2012:01:15%20GMT	https://isteflonbannedinuk.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Is%20Teflon%20Banned%20In%20UK/isteflonbannedinuk.wordpress.com/xmlrpc0db0.php	(from https://isteflonbannedinuk.wordpress.com/)
17:31:15	6211/6211	---M--	200	added ('OK')	image/png	etag:%2266278e2e-1843%22	https://s2.wp.com/i/webclip.png	C:/My%20Web%20Sites/Is%20Teflon%20Banned%20In%20UK/s2.wp.com/i/webclip.png	(from https://isteflonbannedinuk.wordpress.com/)
17:31:16	1444/1444	---MCZ	200	added ('OK')	application/xml	date:Sat,%2001%20Jun%202024%2012:01:16%20GMT	https://isteflonbannedinuk.wordpress.com/osd.xml	C:/My%20Web%20Sites/Is%20Teflon%20Banned%20In%20UK/isteflonbannedinuk.wordpress.com/osd.xml	(from https://isteflonbannedinuk.wordpress.com/)
17:31:16	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2001%20Jun%202024%2012:01:16%20GMT	https://isteflonbannedinuk.files.wordpress.com/2023/03/teflon-pan-on-cooker.jpg?w=1000	C:/My%20Web%20Sites/Is%20Teflon%20Banned%20In%20UK/isteflonbannedinuk.files.wordpress.com/2023/03/teflon-pan-on-cooker.4001f.delayed	(from https://isteflonbannedinuk.wordpress.com/)
